data,regione,zona,servizio_al_tavolo,asporto,consegna_a_domicilio,note,riferimento_normativo
3/1/2020,Emilia-Romagna,pre-colori,consentito,consentito,consentito,Regole variabili per Province; nessuna chiusura nazionale dei ristoranti prima dell'8/3,DPCM 1/3/2020 + ordinanze regionali
3/1/2020,Lombardia,pre-colori,consentito,consentito,consentito,Regole variabili per Province; nessuna chiusura nazionale dei ristoranti prima dell'8/3,DPCM 1/3/2020 + ordinanze regionali
3/2/2020,Emilia-Romagna,pre-colori,consentito,consentito,consentito,Regole variabili per Province; nessuna chiusura nazionale dei ristoranti prima dell'8/3,DPCM 1/3/2020 + ordinanze regionali
3/2/2020,Lombardia,pre-colori,consentito,consentito,consentito,Regole variabili per Province; nessuna chiusura nazionale dei ristoranti prima dell'8/3,DPCM 1/3/2020 + ordinanze regionali
3/3/2020,Emilia-Romagna,pre-colori,consentito,consentito,consentito,Regole variabili per Province; nessuna chiusura nazionale dei ristoranti prima dell'8/3,DPCM 1/3/2020 + ordinanze regionali
3/3/2020,Lombardia,pre-colori,consentito,consentito,consentito,Regole variabili per Province; nessuna chiusura nazionale dei ristoranti prima dell'8/3,DPCM 1/3/2020 + ordinanze regionali
3/4/2020,Emilia-Romagna,pre-colori,consentito,consentito,consentito,Regole variabili per Province; nessuna chiusura nazionale dei ristoranti prima dell'8/3,DPCM 1/3/2020 + ordinanze regionali
3/4/2020,Lombardia,pre-colori,consentito,consentito,consentito,Regole variabili per Province; nessuna chiusura nazionale dei ristoranti prima dell'8/3,DPCM 1/3/2020 + ordinanze regionali
3/5/2020,Emilia-Romagna,pre-colori,consentito,consentito,consentito,Regole variabili per Province; nessuna chiusura nazionale dei ristoranti prima dell'8/3,DPCM 1/3/2020 + ordinanze regionali
3/5/2020,Lombardia,pre-colori,consentito,consentito,consentito,Regole variabili per Province; nessuna chiusura nazionale dei ristoranti prima dell'8/3,DPCM 1/3/2020 + ordinanze regionali
3/6/2020,Emilia-Romagna,pre-colori,consentito,consentito,consentito,Regole variabili per Province; nessuna chiusura nazionale dei ristoranti prima dell'8/3,DPCM 1/3/2020 + ordinanze regionali
3/6/2020,Lombardia,pre-colori,consentito,consentito,consentito,Regole variabili per Province; nessuna chiusura nazionale dei ristoranti prima dell'8/3,DPCM 1/3/2020 + ordinanze regionali
3/7/2020,Emilia-Romagna,pre-colori,consentito,consentito,consentito,Regole variabili per Province; nessuna chiusura nazionale dei ristoranti prima dell'8/3,DPCM 1/3/2020 + ordinanze regionali
3/7/2020,Lombardia,pre-colori,consentito,consentito,consentito,Regole variabili per Province; nessuna chiusura nazionale dei ristoranti prima dell'8/3,DPCM 1/3/2020 + ordinanze regionali
3/8/2020,Emilia-Romagna,Italia zona protetta (no colori),consentito,consentito,consentito,Aperti 5–18 con distanziamento; chiusi dopo le 18,DPCM 8/3/2020
3/8/2020,Lombardia,Italia zona protetta (no colori),consentito,consentito,consentito,Aperti 5–18 con distanziamento; chiusi dopo le 18,DPCM 8/3/2020
3/9/2020,Emilia-Romagna,Italia zona protetta (no colori),consentito,consentito,consentito,Aperti 5–18 con distanziamento; chiusi dopo le 18,DPCM 8/3/2020
3/9/2020,Lombardia,Italia zona protetta (no colori),consentito,consentito,consentito,Aperti 5–18 con distanziamento; chiusi dopo le 18,DPCM 8/3/2020
3/10/2020,Emilia-Romagna,Italia zona protetta (no colori),consentito,consentito,consentito,Aperti 5–18 con distanziamento; chiusi dopo le 18,DPCM 8/3/2020
3/10/2020,Lombardia,Italia zona protetta (no colori),consentito,consentito,consentito,Aperti 5–18 con distanziamento; chiusi dopo le 18,DPCM 8/3/2020
3/11/2020,Emilia-Romagna,Italia zona protetta (no colori),consentito,consentito,consentito,Aperti 5–18 con distanziamento; chiusi dopo le 18,DPCM 8/3/2020
3/11/2020,Lombardia,Italia zona protetta (no colori),consentito,consentito,consentito,Aperti 5–18 con distanziamento; chiusi dopo le 18,DPCM 8/3/2020
3/12/2020,Emilia-Romagna,lockdown nazionale,vietato,vietato,consentito,Chiusura al pubblico. Solo consegna a domicilio,DPCM 11/3/2020
