,scontrini,totale,giorno,scontrino_medio,data,dummy_emilia_full_open,dummy_emilia_restricted_open,dummy_emilia_takeaway_only,dummy_lombardia_full_open,dummy_lombardia_restricted_open,dummy_lombardia_takeaway_only,is_post_covid
676,1174.0,35681.13,Friday,30.39278534923339,2019-11-08,1.0,0.0,0.0,1.0,0.0,0.0,0
677,1406.0,47583.65,Saturday,33.84327880512091,2019-11-09,1.0,0.0,0.0,1.0,0.0,0.0,0
678,1086.0,39338.93,Sunday,36.22369244935543,2019-11-10,1.0,0.0,0.0,1.0,0.0,0.0,0
679,723.0,21310.16,Monday,29.47463347164592,2019-11-11,1.0,0.0,0.0,1.0,0.0,0.0,0
680,806.0,24152.45,Tuesday,29.965818858560795,2019-11-12,1.0,0.0,0.0,1.0,0.0,0.0,0
681,743.0,21971.94,Wednesday,29.57192462987887,2019-11-13,1.0,0.0,0.0,1.0,0.0,0.0,0
682,785.0,23695.46,Thursday,30.185299363057325,2019-11-14,1.0,0.0,0.0,1.0,0.0,0.0,0
683,1115.0,35232.6,Friday,31.598744394618834,2019-11-15,1.0,0.0,0.0,1.0,0.0,0.0,0
684,1234.0,41883.57,Saturday,33.94130470016207,2019-11-16,1.0,0.0,0.0,1.0,0.0,0.0,0
685,1135.0,36783.46,Sunday,32.408334801762116,2019-11-17,1.0,0.0,0.0,1.0,0.0,0.0,0
686,626.0,17302.12,Monday,27.639169329073482,2019-11-18,1.0,0.0,0.0,1.0,0.0,0.0,0
687,694.0,18649.33,Tuesday,26.872233429394814,2019-11-19,1.0,0.0,0.0,1.0,0.0,0.0,0
688,884.0,24482.98,Wednesday,27.695678733031674,2019-11-20,1.0,0.0,0.0,1.0,0.0,0.0,0
689,866.0,23719.43,Thursday,27.389642032332564,2019-11-21,1.0,0.0,0.0,1.0,0.0,0.0,0
690,1234.0,35723.59,Friday,28.94942463533225,2019-11-22,1.0,0.0,0.0,1.0,0.0,0.0,0
691,1409.0,41780.42,Saturday,29.652533711852378,2019-11-23,1.0,0.0,0.0,1.0,0.0,0.0,0
692,1056.0,32808.08,Sunday,31.068257575757578,2019-11-24,1.0,0.0,0.0,1.0,0.0,0.0,0
693,628.0,17698.04,Monday,28.1815923566879,2019-11-25,1.0,0.0,0.0,1.0,0.0,0.0,0
694,744.0,20485.42,Tuesday,27.534166666666664,2019-11-26,1.0,0.0,0.0,1.0,0.0,0.0,0
695,735.0,21009.36,Wednesday,28.584163265306124,2019-11-27,1.0,0.0,0.0,1.0,0.0,0.0,0
696,777.0,22149.85,Thursday,28.506885456885456,2019-11-28,1.0,0.0,0.0,1.0,0.0,0.0,0
697,1179.0,34730.44,Friday,29.457540288379985,2019-11-29,1.0,0.0,0.0,1.0,0.0,0.0,0
698,1344.0,43055.53,Saturday,32.03536458333333,2019-11-30,1.0,0.0,0.0,1.0,0.0,0.0,0
699,942.0,29615.16,Sunday,31.43859872611465,2019-12-01,1.0,0.0,0.0,1.0,0.0,0.0,0
700,666.0,18181.33,Monday,27.299294294294295,2019-12-02,1.0,0.0,0.0,1.0,0.0,0.0,0
701,694.0,18249.16,Tuesday,26.295619596541787,2019-12-03,1.0,0.0,0.0,1.0,0.0,0.0,0
702,643.0,17906.93,Wednesday,27.849035769828927,2019-12-04,1.0,0.0,0.0,1.0,0.0,0.0,0
703,682.0,19657.06,Thursday,28.82266862170088,2019-12-05,1.0,0.0,0.0,1.0,0.0,0.0,0
704,1118.0,30394.85,Friday,27.186806797853308,2019-12-06,1.0,0.0,0.0,1.0,0.0,0.0,0
705,1222.0,38330.51,Saturday,31.3670294599018,2019-12-07,1.0,0.0,0.0,1.0,0.0,0.0,0
706,939.0,29763.68,Sunday,31.69720979765708,2019-12-08,1.0,0.0,0.0,1.0,0.0,0.0,0
707,609.0,16782.01,Monday,27.556666666666665,2019-12-09,1.0,0.0,0.0,1.0,0.0,0.0,0
708,871.0,21947.33,Tuesday,25.19785304247991,2019-12-10,1.0,0.0,0.0,1.0,0.0,0.0,0
709,716.0,20360.5,Wednesday,28.43645251396648,2019-12-11,1.0,0.0,0.0,1.0,0.0,0.0,0
710,735.0,20673.24,Thursday,28.126857142857144,2019-12-12,1.0,0.0,0.0,1.0,0.0,0.0,0
711,1103.0,31056.76,Friday,28.156627379873072,2019-12-13,1.0,0.0,0.0,1.0,0.0,0.0,0
712,1303.0,42692.89,Saturday,32.765072908672295,2019-12-14,1.0,0.0,0.0,1.0,0.0,0.0,0
713,935.0,33101.83,Sunday,35.40302673796791,2019-12-15,1.0,0.0,0.0,1.0,0.0,0.0,0
714,770.0,20216.38,Monday,26.255038961038963,2019-12-16,1.0,0.0,0.0,1.0,0.0,0.0,0
715,861.0,21438.36,Tuesday,24.899372822299654,2019-12-17,1.0,0.0,0.0,1.0,0.0,0.0,0
716,766.0,22219.64,Wednesday,29.007362924281985,2019-12-18,1.0,0.0,0.0,1.0,0.0,0.0,0
717,863.0,24847.56,Thursday,28.7920741599073,2019-12-19,1.0,0.0,0.0,1.0,0.0,0.0,0
718,1103.0,32749.8,Friday,29.691568449682684,2019-12-20,1.0,0.0,0.0,1.0,0.0,0.0,0
719,1195.0,39070.82,Saturday,32.69524686192469,2019-12-21,1.0,0.0,0.0,1.0,0.0,0.0,0
720,962.0,31699.92,Sunday,32.95209979209979,2019-12-22,1.0,0.0,0.0,1.0,0.0,0.0,0
