weekly,monthly,yearly,weekly_prepost,holidays,covid_regressors,RMSE_last,MAE_last,RMSE_cv_mean,MAE_cv_mean
False,False,False,True,True,"['dummy_emilia_full_open', 'dummy_emilia_restricted_open', 'dummy_emilia_takeaway_only']",2658.397803856341,2039.8756920004512,2723.211349039584,2087.957314589345
True,False,False,True,True,"['dummy_emilia_full_open', 'dummy_emilia_restricted_open', 'dummy_emilia_takeaway_only']",2658.397803856341,2039.8756920004512,2723.211349039584,2087.957314589345
True,True,False,True,True,"['dummy_emilia_full_open', 'dummy_emilia_restricted_open', 'dummy_emilia_takeaway_only']",2597.674921825799,2034.6989033877403,2730.327388181889,2109.770997618096
False,True,False,True,True,"['dummy_emilia_full_open', 'dummy_emilia_restricted_open', 'dummy_emilia_takeaway_only']",2597.674921825799,2034.6989033877403,2730.327388181889,2109.770997618096
True,True,False,False,True,"['dummy_emilia_full_open', 'dummy_emilia_restricted_open', 'dummy_emilia_takeaway_only']",2593.1453804468033,2032.3147710980722,2739.805519092718,2120.5271427075013
True,True,False,False,True,"['dummy_lombardia_full_open', 'dummy_lombardia_restricted_open', 'dummy_lombardia_takeaway_only']",2635.2617279360184,2060.0978036308334,2745.784936899117,2126.3773844300376
True,False,False,False,True,"['dummy_emilia_full_open', 'dummy_emilia_restricted_open', 'dummy_emilia_takeaway_only']",2689.9748584269387,2092.3526946841166,2747.1206179325636,2106.482205905195
True,True,False,True,True,"['dummy_lombardia_full_open', 'dummy_lombardia_restricted_open', 'dummy_lombardia_takeaway_only']",2601.4915227892416,2044.1339940159717,2754.0447343079295,2136.384762973939
False,True,False,True,True,"['dummy_lombardia_full_open', 'dummy_lombardia_restricted_open', 'dummy_lombardia_takeaway_only']",2601.4915227892416,2044.1339940159717,2754.0447343079295,2136.384762973939
True,False,False,False,True,"['dummy_lombardia_full_open', 'dummy_lombardia_restricted_open', 'dummy_lombardia_takeaway_only']",2737.755680806922,2120.171882709156,2776.561842946703,2141.5809290735815
True,True,False,False,True,,2566.8963022007238,2018.87593721669,2787.5575431907987,2124.1242636152438
False,False,False,True,True,"['dummy_lombardia_full_open', 'dummy_lombardia_restricted_open', 'dummy_lombardia_takeaway_only']",2657.593021707796,2053.125471075681,2791.6723152952236,2152.9315775973378
True,False,False,True,True,"['dummy_lombardia_full_open', 'dummy_lombardia_restricted_open', 'dummy_lombardia_takeaway_only']",2657.593021707796,2053.125471075681,2791.6723152952236,2152.9315775973378
False,False,False,True,True,,2639.9092171430884,2063.107125585791,2805.4275061862095,2127.965871143008
True,False,False,True,True,,2639.9092171430884,2063.107125585791,2805.4275061862095,2127.965871143008
False,True,False,True,True,,2523.53107755651,2005.6711565430385,2813.506996828196,2142.050409087703
True,True,False,True,True,,2523.53107755651,2005.6711565430385,2813.506996828196,2142.050409087703
True,False,False,False,True,,2652.4860331973605,2081.7036890164422,2823.1662166728734,2165.371638844352
True,True,True,False,True,"['dummy_emilia_full_open', 'dummy_emilia_restricted_open', 'dummy_emilia_takeaway_only']",2611.3847090033855,2009.08959080496,2868.1460653032077,2278.8624046171167
True,True,True,True,True,"['dummy_emilia_full_open', 'dummy_emilia_restricted_open', 'dummy_emilia_takeaway_only']",2652.543839387319,2074.294727605253,2870.096311213905,2266.9469127348148
False,True,True,True,True,"['dummy_emilia_full_open', 'dummy_emilia_restricted_open', 'dummy_emilia_takeaway_only']",2652.543839387319,2074.294727605253,2870.096311213905,2266.9469127348148
False,False,True,True,True,"['dummy_emilia_full_open', 'dummy_emilia_restricted_open', 'dummy_emilia_takeaway_only']",2665.3192934734234,2110.094004938911,2896.0678661766096,2309.86484201292
True,False,True,True,True,"['dummy_emilia_full_open', 'dummy_emilia_restricted_open', 'dummy_emilia_takeaway_only']",2665.3192934734234,2110.094004938911,2896.0678661766096,2309.86484201292
False,True,True,True,True,,2642.0336952956886,2079.426439100409,2896.318248102788,2327.773651959679
True,True,True,False,True,,2636.2073501103723,2048.463151290899,2907.3563994796023,2340.0985738670993
False,True,True,True,True,"['dummy_lombardia_full_open', 'dummy_lombardia_restricted_open', 'dummy_lombardia_takeaway_only']",2575.1059814448495,1984.8902923159055,2912.8483879221826,2295.284195368954
True,True,True,True,True,"['dummy_lombardia_full_open', 'dummy_lombardia_restricted_open', 'dummy_lombardia_takeaway_only']",2575.1059814448495,1984.8902923159055,2912.8483879221826,2295.284195368954
False,False,True,True,True,,2824.4451184290315,2284.147138079025,2927.397876643842,2363.083936446136
True,False,True,True,True,,2824.4451184290315,2284.147138079025,2927.397876643842,2363.083936446136
True,False,True,False,True,"['dummy_emilia_full_open', 'dummy_emilia_restricted_open', 'dummy_emilia_takeaway_only']",2733.276969301981,2143.5384433423997,2927.5329002189014,2346.0804753653756
True,True,True,False,True,"['dummy_lombardia_full_open', 'dummy_lombardia_restricted_open', 'dummy_lombardia_takeaway_only']",2572.755391745887,1966.89617988798,2930.053353242854,2320.9081679970204
True,False,True,False,True,,2833.497216750328,2264.2490804445433,2948.740368106448,2387.695022206531
True,False,True,False,True,"['dummy_lombardia_full_open', 'dummy_lombardia_restricted_open', 'dummy_lombardia_takeaway_only']",2699.268433743463,2105.335337524196,2951.482973146989,2359.0581883429495
True,False,True,True,True,"['dummy_lombardia_full_open', 'dummy_lombardia_restricted_open', 'dummy_lombardia_takeaway_only']",2745.805235832917,2197.8790118841384,2957.4875871708837,2354.8566863630303
