weekly,monthly,yearly,weekly_prepost,holidays,covid_regressors,RMSE_last,MAE_last,RMSE_cv_mean,MAE_cv_mean
True,False,False,True,True,,149.2238556953622,116.99598451747211,157.74580687281806,112.51745069043024
False,False,False,True,True,,149.2238556953622,116.99598451747211,157.74580687281806,112.51745069043024
False,False,False,True,True,"['dummy_emilia_full_open', 'dummy_emilia_restricted_open', 'dummy_emilia_takeaway_only']",148.13132354182858,116.18034112614158,157.89496644353986,114.12283953629142
True,False,False,True,True,"['dummy_emilia_full_open', 'dummy_emilia_restricted_open', 'dummy_emilia_takeaway_only']",148.13132354182858,116.18034112614158,157.89496644353986,114.12283953629142
True,True,False,True,True,,150.36933225530086,115.85149608243279,157.9831524759336,112.65220946440435
False,True,False,True,True,,150.36933225530086,115.85149608243279,157.9831524759336,112.65220946440435
False,False,False,True,True,"['dummy_lombardia_full_open', 'dummy_lombardia_restricted_open', 'dummy_lombardia_takeaway_only']",147.5585384729392,115.29390015689692,158.35926929648787,114.74829327084134
True,False,False,True,True,"['dummy_lombardia_full_open', 'dummy_lombardia_restricted_open', 'dummy_lombardia_takeaway_only']",147.5585384729392,115.29390015689692,158.35926929648787,114.74829327084134
True,True,False,True,True,"['dummy_emilia_full_open', 'dummy_emilia_restricted_open', 'dummy_emilia_takeaway_only']",147.94287170934138,113.31087699720507,158.6161585980566,115.4027386473144
False,True,False,True,True,"['dummy_emilia_full_open', 'dummy_emilia_restricted_open', 'dummy_emilia_takeaway_only']",147.94287170934138,113.31087699720507,158.6161585980566,115.4027386473144
True,False,False,False,True,"['dummy_emilia_full_open', 'dummy_emilia_restricted_open', 'dummy_emilia_takeaway_only']",151.30661079665956,120.11499059664736,158.9875987945589,115.99637876792553
False,True,False,True,True,"['dummy_lombardia_full_open', 'dummy_lombardia_restricted_open', 'dummy_lombardia_takeaway_only']",147.8066896823412,112.89159341114554,159.0658052324925,115.94063444946006
True,True,False,True,True,"['dummy_lombardia_full_open', 'dummy_lombardia_restricted_open', 'dummy_lombardia_takeaway_only']",147.8066896823412,112.89159341114554,159.0658052324925,115.94063444946006
False,False,False,True,False,,157.15753061067912,117.88004632367219,159.08976268661502,111.58743200742258
True,False,False,True,False,,157.15753061067912,117.88004632367219,159.08976268661502,111.58743200742258
True,True,False,False,True,,152.27724044818007,118.58894849537356,159.1321715845443,114.5774715135029
True,False,False,False,True,"['dummy_lombardia_full_open', 'dummy_lombardia_restricted_open', 'dummy_lombardia_takeaway_only']",150.7001746713471,119.47388790156016,159.2503437843409,116.31679473733838
True,False,False,False,True,,152.5750338040364,120.9438482310919,159.55252195910705,114.96942473123923
False,True,False,True,False,,157.5163735715775,115.88582461056475,159.76175010123092,111.89515576726971
True,True,False,True,False,,157.5163735715775,115.88582461056475,159.76175010123092,111.89515576726971
True,False,False,True,False,"['dummy_emilia_full_open', 'dummy_emilia_restricted_open', 'dummy_emilia_takeaway_only']",156.07828831198447,116.6386989859213,159.8826013401663,114.21955177031883
False,False,False,True,False,"['dummy_emilia_full_open', 'dummy_emilia_restricted_open', 'dummy_emilia_takeaway_only']",156.07828831198447,116.6386989859213,159.8826013401663,114.21955177031883
True,True,False,False,True,"['dummy_emilia_full_open', 'dummy_emilia_restricted_open', 'dummy_emilia_takeaway_only']",151.11284694662945,117.818297701763,160.1302973874804,117.83249156911661
True,True,False,False,True,"['dummy_lombardia_full_open', 'dummy_lombardia_restricted_open', 'dummy_lombardia_takeaway_only']",150.60193807309116,117.00277617576668,160.30294706179694,118.1111266481934
True,False,False,True,False,"['dummy_lombardia_full_open', 'dummy_lombardia_restricted_open', 'dummy_lombardia_takeaway_only']",156.44288806044125,117.05336759746234,160.32337147038584,114.66356072692349
False,False,False,True,False,"['dummy_lombardia_full_open', 'dummy_lombardia_restricted_open', 'dummy_lombardia_takeaway_only']",156.44288806044125,117.05336759746234,160.32337147038584,114.66356072692349
True,False,False,False,False,,159.19846027100235,121.7346981350293,160.81704151412265,114.24058145978495
True,True,False,True,False,"['dummy_emilia_full_open', 'dummy_emilia_restricted_open', 'dummy_emilia_takeaway_only']",157.44021592741447,115.3996106969414,161.01048658546642,116.0413125098048
False,True,False,True,False,"['dummy_emilia_full_open', 'dummy_emilia_restricted_open', 'dummy_emilia_takeaway_only']",157.44021592741447,115.3996106969414,161.01048658546642,116.0413125098048
False,True,False,True,False,"['dummy_lombardia_full_open', 'dummy_lombardia_restricted_open', 'dummy_lombardia_takeaway_only']",156.66109370540087,114.44995823143987,161.046820484816,116.13246576996882
True,True,False,True,False,"['dummy_lombardia_full_open', 'dummy_lombardia_restricted_open', 'dummy_lombardia_takeaway_only']",156.66109370540087,114.44995823143987,161.046820484816,116.13246576996882
True,False,False,False,False,"['dummy_emilia_full_open', 'dummy_emilia_restricted_open', 'dummy_emilia_takeaway_only']",159.0791589473496,121.45087713708156,161.0744005049831,116.16244501406354
True,True,False,False,False,,159.70326821908594,120.22320061642043,162.01840561780367,115.20447731704101
True,False,False,False,False,"['dummy_lombardia_full_open', 'dummy_lombardia_restricted_open', 'dummy_lombardia_takeaway_only']",159.14115922632263,121.52431020670116,162.04854410033016,117.46418671926072
True,True,False,False,False,"['dummy_emilia_full_open', 'dummy_emilia_restricted_open', 'dummy_emilia_takeaway_only']",159.43753095020134,119.64490835635378,162.30872996147397,118.24002085897871
True,True,False,False,False,"['dummy_lombardia_full_open', 'dummy_lombardia_restricted_open', 'dummy_lombardia_takeaway_only']",157.65383808536552,117.97270286859553,162.90506437741772,119.15290579366068
False,True,False,False,True,,201.44252316905306,174.60177450693945,197.28918604840436,156.05576025627238
False,False,False,False,True,,201.67421267985,175.42512381750657,197.3409821930904,155.8098768527048
False,True,True,True,True,"['dummy_emilia_full_open', 'dummy_emilia_restricted_open', 'dummy_emilia_takeaway_only']",153.66647511471268,116.1310375634767,197.40583939217507,155.93175593566227
True,True,True,True,True,"['dummy_emilia_full_open', 'dummy_emilia_restricted_open', 'dummy_emilia_takeaway_only']",153.66647511471268,116.1310375634767,197.40583939217507,155.93175593566227
True,True,True,False,True,"['dummy_lombardia_full_open', 'dummy_lombardia_restricted_open', 'dummy_lombardia_takeaway_only']",162.00374810197619,122.9473592087853,197.81459726200356,156.99816041842206
False,True,True,True,True,"['dummy_lombardia_full_open', 'dummy_lombardia_restricted_open', 'dummy_lombardia_takeaway_only']",165.84775199501192,129.4453586079253,198.18018951939285,157.1634672026586
True,True,True,True,True,"['dummy_lombardia_full_open', 'dummy_lombardia_restricted_open', 'dummy_lombardia_takeaway_only']",165.84775199501192,129.4453586079253,198.18018951939285,157.1634672026586
True,True,True,False,True,"['dummy_emilia_full_open', 'dummy_emilia_restricted_open', 'dummy_emilia_takeaway_only']",171.00192130469384,132.085993341664,198.31081698196004,157.569299247355
False,False,False,False,True,"['dummy_emilia_full_open', 'dummy_emilia_restricted_open', 'dummy_emilia_takeaway_only']",199.346959427979,173.9724694401997,198.86950969963397,157.69430741110108
True,False,True,False,False,"['dummy_emilia_full_open', 'dummy_emilia_restricted_open', 'dummy_emilia_takeaway_only']",172.89595006908857,136.68567709353712,199.10811421225762,159.00565310835265
False,False,False,False,True,"['dummy_lombardia_full_open', 'dummy_lombardia_restricted_open', 'dummy_lombardia_takeaway_only']",200.1027260748499,174.35069740259175,199.34331056364636,158.0586140883529
False,False,False,False,False,,207.80685163529418,178.64935065383602,199.50054873185454,156.3149523404964
False,True,False,False,False,,207.0439712713967,177.5101494815939,199.5908701261069,156.68263694417323
